,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,
,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,
,,,,,,,戻る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,第２表　産業分類細分類別、法人・個人別、男女別の就業者数、従業者数（内訳別）、臨時雇用者数、従業者・臨時雇用者のうち他への出向・派遣従業者数、,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,　　　　他からの出向・派遣従業者数及びパート・アルバイトなどの８時間換算雇用者数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,産業分類,合　　計,,,,,,法　　人,,,,,,,,,,,,,,,,,,,,,個　　人,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,就業者数,,,従業者数,,,従　業　者　数,,,,,,,,,,,,臨時雇用者数,,従業者・臨時雇用者のうち他への出向・派遣従業者数,,他からの派遣従業者数,,,,パート・アルバイトなどの８時間換算雇用者数,従　業　者　数,,,,,,,,,,,,,,臨時雇用者数,,従業者・臨時雇用者のうち他への出向・派遣従業者数,,他からの派遣従業者数,,,,パート・アルバイトなどの８時間換算雇用者数,
,,,,,,,,,,,,,,,計,,,有給役員,,常用雇用者数,,,,,,,,,,,出向,,派遣,,,計,,,個人業主,,無給家族従業者,,常用雇用者数,,,,,,,,,,,出向,,派遣,,,
,,,,,,,,,,,,,,,,,,,,計,,,正社員・正職員,,パート・アルバイトなど,,,,,,,,,,,,,,,,,,計,,,正社員・正職員,,パート・アルバイトなど,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,（人）,,,（人）,,,（人）,,,（人）,,（人）,,,（人）,,（人）,,（人）,,（人）,,（人）,,（人）,,,（人）,,,（人）,,（人）,,（人）,,,（人）,,（人）,,（人）,,（人）,,（人）,,（人）,,,
,,,,,,,,,計,男,女,計,男,女,計,男,女,男,女,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,（人）,計,男,女,男,女,男,女,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,（人）,
00200,            ,            ,  ,,1,,,合計,"9,147,453","4,568,221","4,579,232","8,672,803","4,417,843","4,254,960","7,613,316","3,907,609","3,705,707","434,260","188,611","6,990,445","3,473,349","3,517,096","2,568,275","1,093,675","905,074","2,423,421","101,494","165,029","60,504","15,042","66,236","82,148","23,924","64,657","2,273,741","1,059,487","510,234","549,253","266,618","90,793","30,503","112,199","559,374","213,113","346,261","85,418","125,294","127,695","220,967","19,663","27,701","1,011",882,347,335,229,326,"226,859",
